date, price
2000/1/4,178
2000/1/5,182
2000/1/6,178
2000/1/7,173
2000/1/10,179
2000/1/11,176
2000/1/12,181
2000/1/13,178
2000/1/14,182
2000/1/15,188
2000/1/17,187
2000/1/18,184
2000/1/19,184
2000/1/20,182
2000/1/21,186
2000/1/24,188
2000/1/25,193
2000/1/26,206
2000/1/27,208
2000/1/28,204
2000/1/29,200
2000/1/31,203
2000/2/1,202
2000/2/9,211
2000/2/10,214
2000/2/11,219
2000/2/14,214
2000/2/15,215
2000/2/16,213
2000/2/17,211
2000/2/18,208
2000/2/19,205
2000/2/21,195
2000/2/22,195
2000/2/23,194
2000/2/24,195
2000/2/25,199
2000/2/29,201
2000/3/1,206
2000/3/2,203
2000/3/3,203
2000/3/4,204
2000/3/6,200
2000/3/7,199
2000/3/8,198
2000/3/9,200
2000/3/10,195
2000/3/13,182
2000/3/14,186
2000/3/15,183
2000/3/16,184
2000/3/17,190
2000/3/20,184
2000/3/21,195
2000/3/22,192
2000/3/23,201
2000/3/24,198
2000/3/27,211
2000/3/28,209
2000/3/29,204
2000/3/30,208
2000/3/31,205
2000/4/1,210
2000/4/5,208
2000/4/6,202
2000/4/7,200
2000/4/8,200
2000/4/10,210
2000/4/11,205
2000/4/12,200
2000/4/13,192
2000/4/14,186
2000/4/15,176
2000/4/17,179
2000/4/18,189
2000/4/19,183
2000/4/20,186
2000/4/21,186
2000/4/24,180
2000/4/25,187
2000/4/26,185
2000/4/27,188
2000/4/28,197
2000/4/29,195
2000/5/2,193
2000/5/3,188
2000/5/4,187
2000/5/5,192
2000/5/6,190
2000/5/8,193
2000/5/9,193
2000/5/10,188
2000/5/11,179
2000/5/12,185
2000/5/15,141
2000/5/16,149.5
2000/5/17,159
2000/5/18,163
2000/5/19,162
2000/5/20,160
2000/5/22,158
2000/5/23,153
2000/5/24,148.5
2000/5/25,145.5
2000/5/26,145.5
2000/5/29,145.5
2000/5/30,151
2000/5/31,157
2000/6/1,153
2000/6/2,155
2000/6/3,157
2000/6/5,158
2000/6/7,161
2000/6/8,157
2000/6/9,158
